basename;light_lighting;light_background;light_exposure;light_color;emotion;eyes_left;eyes_right;headwear;camera;blur;low_resolution;object;filename;const_left;const_right;genome;blink;sharpness;up_down;left_right;confidence;lndm_ok
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;0.21;0.24;african;0.0001482562;1.0;0.25581396;0.046511628;0.6160923;1
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;0.23;0.26;african;7.319668e-05;0.9375;0.29545453;0.03448276;0.5442151;1
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;0.24;0.22;african;5.1526855e-05;1.0;0.25;0.022727273;0.6370909;1
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0.29;0.25;african;4.822491e-05;0.9375;0.31868133;-0.032967035;0.0;1
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0.29;0.22;african;1.9181402e-05;0.875;0.3258427;0.011235955;0.0;1
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0.27;0.23;african;9.882424e-05;0.875;0.29032257;0.021276595;0.0;1
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;2;2;0;0;0;0;0;2;0;5;1;0;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;0.2;0.25;african;0.0017715109;0.4375;0.11827957;-0.030303031;0.0;1
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;1;2;-1;0;-1;0;0;2;0;5;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;0.17;0.15;african;0.6031705;0.1875;0.12195122;0.13253012;0.0;1
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0.27;0.27;african;1.3755068e-06;0.625;0.13513513;-0.10810811;0.0;1
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0.25;0.27;asian;1.0019991e-07;0.625;0.06666667;-0.06666667;0.0;1
